latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-36.59776,-72.64204,336.46,0.41,0.45,2026-01-15,1914,N,VIIRS,n,2.0NRT,299.39,2.74,D
-36.58634,-72.60952,355.35,0.41,0.45,2026-01-15,1914,N,VIIRS,n,2.0NRT,309.26,12.25,D
-36.59366,-72.64328,342.6,0.41,0.45,2026-01-15,1914,N,VIIRS,n,2.0NRT,303.71,5.27,D
-36.58434,-72.62048,353.47,0.41,0.45,2026-01-15,1914,N,VIIRS,n,2.0NRT,307.16,10.09,D
-36.58534,-72.62509,346.78,0.41,0.45,2026-01-15,1914,N,VIIRS,n,2.0NRT,308.5,10.09,D
-36.58852,-72.63974,346.07,0.41,0.45,2026-01-15,1914,N,VIIRS,n,2.0NRT,303.28,5.27,D
-36.58953,-72.6444,340.84,0.41,0.45,2026-01-15,1914,N,VIIRS,n,2.0NRT,301.49,5.27,D
-36.58226,-72.63103,367,0.41,0.45,2026-01-15,1914,N,VIIRS,h,2.0NRT,309.59,20.29,D
-36.58022,-72.62167,348.64,0.41,0.45,2026-01-15,1914,N,VIIRS,n,2.0NRT,302.9,17.86,D
-36.58123,-72.62629,347.54,0.41,0.45,2026-01-15,1914,N,VIIRS,n,2.0NRT,304.75,17.86,D
-36.58333,-72.63597,346.33,0.41,0.45,2026-01-15,1914,N,VIIRS,n,2.0NRT,305.24,20.29,D
-36.58437,-72.64076,354.12,0.41,0.45,2026-01-15,1914,N,VIIRS,n,2.0NRT,308.72,7.97,D
-36.57817,-72.63235,353.61,0.41,0.45,2026-01-15,1914,N,VIIRS,n,2.0NRT,311.54,20.29,D
-36.5792,-72.63711,356.48,0.41,0.45,2026-01-15,1914,N,VIIRS,n,2.0NRT,306.12,20.29,D
-36.58021,-72.64173,352.99,0.41,0.45,2026-01-15,1914,N,VIIRS,n,2.0NRT,302.33,7.97,D
-36.57687,-72.63116,346.5,0.41,0.45,2026-01-15,1914,N,VIIRS,n,2.0NRT,304.65,23.41,D
-36.57787,-72.63592,352.93,0.41,0.45,2026-01-15,1914,N,VIIRS,n,2.0NRT,308.29,23.41,D
-36.57885,-72.64056,345.25,0.41,0.45,2026-01-15,1914,N,VIIRS,n,2.0NRT,300.5,8.27,D
-36.60692,-72.59159,298.28,0.55,0.68,2026-01-16,0453,N,VIIRS,n,2.0NRT,286.17,1.3,N
-36.57634,-72.6204,352.73,0.55,0.68,2026-01-16,0453,N,VIIRS,n,2.0NRT,289.27,5.62,N
-36.57467,-72.62601,315.93,0.55,0.68,2026-01-16,0453,N,VIIRS,n,2.0NRT,287.34,5.62,N
-36.578,-72.61485,303.68,0.55,0.68,2026-01-16,0453,N,VIIRS,n,2.0NRT,286.21,3.44,N
-36.57914,-72.63434,298.89,0.55,0.68,2026-01-16,0453,N,VIIRS,n,2.0NRT,286.7,2.01,N
-36.5808,-72.62878,312.59,0.55,0.68,2026-01-16,0453,N,VIIRS,n,2.0NRT,286.9,1.59,N
-36.58262,-72.62268,297.79,0.55,0.68,2026-01-16,0453,N,VIIRS,n,2.0NRT,286.13,1.59,N
-36.58434,-72.6169,308.01,0.55,0.68,2026-01-16,0453,N,VIIRS,n,2.0NRT,286.04,1.33,N
-36.61253,-72.59224,321.02,0.55,0.68,2026-01-16,0453,N,VIIRS,n,2.0NRT,285.9,2.64,N
-36.61433,-72.6096,304.19,0.55,0.68,2026-01-16,0453,N,VIIRS,n,2.0NRT,286.44,2.6,N
-36.61893,-72.61752,343.28,0.55,0.68,2026-01-16,0453,N,VIIRS,n,2.0NRT,287.8,2.6,N
-36.6205,-72.61222,303.19,0.55,0.68,2026-01-16,0453,N,VIIRS,n,2.0NRT,285.83,2.6,N
-36.61316,-72.59396,317.12,0.55,0.68,2026-01-16,0453,N,VIIRS,n,2.0NRT,285.49,1.3,N
-36.61502,-72.61085,306.87,0.55,0.68,2026-01-16,0453,N,VIIRS,n,2.0NRT,286.17,1.97,N
-36.61962,-72.61864,343.37,0.55,0.68,2026-01-16,0453,N,VIIRS,n,2.0NRT,287.77,7.53,N
-36.62122,-72.61337,299.84,0.55,0.68,2026-01-16,0453,N,VIIRS,n,2.0NRT,285.92,1.97,N
-36.58314,-72.61533,311.76,0.62,0.54,2026-01-16,0633,N,VIIRS,n,2.0NRT,285.69,3.02,N
-36.58591,-72.57916,306.83,0.62,0.54,2026-01-16,0633,N,VIIRS,n,2.0NRT,286.71,1.67,N
-36.57593,-72.62058,336.57,0.62,0.54,2026-01-16,0633,N,VIIRS,n,2.0NRT,288.18,3.12,N
-36.5754,-72.6282,302.88,0.62,0.54,2026-01-16,0633,N,VIIRS,n,2.0NRT,286.41,3.12,N
-36.58046,-72.62872,306.47,0.62,0.54,2026-01-16,0633,N,VIIRS,n,2.0NRT,285.98,1.76,N
-36.58099,-72.6213,296.04,0.62,0.54,2026-01-16,0633,N,VIIRS,n,2.0NRT,285.65,1.76,N
-36.58152,-72.61375,310.95,0.62,0.54,2026-01-16,0633,N,VIIRS,n,2.0NRT,285.48,1.49,N
-36.58406,-72.57758,305.98,0.62,0.54,2026-01-16,0633,N,VIIRS,n,2.0NRT,286.92,2,N
-36.60929,-72.58234,305.95,0.62,0.54,2026-01-16,0633,N,VIIRS,n,2.0NRT,285.78,1.89,N
-36.61438,-72.58273,332.59,0.62,0.54,2026-01-16,0633,N,VIIRS,n,2.0NRT,285.61,3.48,N
-36.61382,-72.59059,310.56,0.62,0.54,2026-01-16,0633,N,VIIRS,n,2.0NRT,285.39,3.48,N
-36.58255,-72.62302,296.12,0.62,0.54,2026-01-16,0633,N,VIIRS,n,2.0NRT,285.54,3.02,N
-36.57694,-72.62961,308.65,0.62,0.54,2026-01-16,0633,N,VIIRS,n,2.0NRT,286.78,3.72,N
-36.57751,-72.62221,330.25,0.62,0.54,2026-01-16,0633,N,VIIRS,n,2.0NRT,287.45,3.02,N
-36.57247,-72.62145,305.05,0.62,0.54,2026-01-16,0633,N,VIIRS,n,2.0NRT,285.65,1,N
-36.61832,-72.60923,339.84,0.4,0.37,2026-01-16,1855,N,VIIRS,n,2.0NRT,308.2,3.93,D
-36.6095,-72.57843,342.51,0.41,0.37,2026-01-16,1855,N,VIIRS,n,2.0NRT,306.69,3.87,D
-36.5843,-72.61818,349.95,0.4,0.37,2026-01-16,1855,N,VIIRS,l,2.0NRT,321.17,12.11,D
-36.58089,-72.61904,353.87,0.4,0.37,2026-01-16,1855,N,VIIRS,n,2.0NRT,320.69,34.9,D
-36.58246,-72.6282,346.17,0.4,0.37,2026-01-16,1855,N,VIIRS,n,2.0NRT,317.13,34.42,D
-36.58168,-72.62364,367,0.4,0.37,2026-01-16,1855,N,VIIRS,l,2.0NRT,340.85,34.42,D
-36.57827,-72.62452,367,0.4,0.37,2026-01-16,1855,N,VIIRS,h,2.0NRT,340.13,34.42,D
-36.57749,-72.61993,356.14,0.4,0.37,2026-01-16,1855,N,VIIRS,n,2.0NRT,328.51,34.9,D
-36.57906,-72.6291,350.02,0.4,0.37,2026-01-16,1855,N,VIIRS,n,2.0NRT,319.2,34.42,D
-36.57985,-72.6337,344.17,0.4,0.37,2026-01-16,1855,N,VIIRS,l,2.0NRT,316.59,8.86,D
-36.57409,-72.62083,350.45,0.4,0.37,2026-01-16,1855,N,VIIRS,n,2.0NRT,313.77,18.27,D
-36.57488,-72.62544,334.79,0.4,0.37,2026-01-16,1855,N,VIIRS,n,2.0NRT,308.09,6.8,D
-36.57645,-72.6346,337.69,0.4,0.37,2026-01-16,1855,N,VIIRS,l,2.0NRT,311.47,13.28,D
-36.57954,-72.62867,303.69,0.52,0.42,2026-01-17,0616,N,VIIRS,n,2.0NRT,290.49,1.14,N
-36.58023,-72.62262,302.25,0.52,0.42,2026-01-17,0616,N,VIIRS,n,2.0NRT,290.82,1.14,N
-36.6127,-72.61643,299.53,0.53,0.42,2026-01-17,0616,N,VIIRS,n,2.0NRT,288.84,0.36,N
-36.61611,-72.58658,309.92,0.53,0.42,2026-01-17,0616,N,VIIRS,n,2.0NRT,289.76,0.96,N
